Submission ID,Respondent ID,Submitted at,Loan Id,"Using a scale from 0 (not likely) to 10 (very likely), how likely are you to recommend MoPhones to friends or family?",What is the main reason for your score?,What is one thing we could do to improve your experience with us?,Are you happy with the quality and performance of your MoPhones device?,Are you happy with the service and support provided by MoPhones?,Have you ever experienced a delay in your payment reflecting in your Mophones account?,Have you ever had difficulty getting assistance from MoPhones customer support when needed?,(If Yes) – Please describe the challenge you faced and how we can improve your experience.,Have you experienced any battery-related issues with your MoPhones device?,Have you used the MoPhones app (MoApp) to manage your account or make payments?,Which communication channel do you prefer when contacting MoPhones for inquiries or support?,Have you ever had your phone lock despite making a payment on time?,Any other Feedback?
Me8N0b8,lPo8jN,8/28/2025 15:36,recyRMj9xxAynZxRG,1,,,,Yes,,,,,,,,
81ja94r,rxNMBp,8/28/2025 15:39,recPJKPzEZXenqdhr,9,,,Yes,,,,,,,,,
kdOeqN6,NeK1Lj,8/28/2025 15:41,recaJICCin8vsDDXo,9,,,Yes,Yes,,,,,,,,
kdOeqx1,PevGA5,8/28/2025 15:47,rechBmK9trQkke8ZE,10,,,No,Yes,No,No,I haven't had a challenge in assistance it's quick and commendable. However I think they should add on the cached page data and wifi all the time not like it pops up. At times the phone can lock when data is off then it becomes a challenge turning the data on,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,Yes,No thanks
xXQyzE5,P79Gr1,8/28/2025 15:49,recO1hLgR8LnQ6NyD,10,,,No,No,Yes,Yes,Kindly change the payment mode to daily,Yes,"Yes, but I am not satisfied with the MoApp",MoPhones App,No,Help reduce payment to daily
J98p5ez,JEMogY,8/28/2025 15:49,recYPElnm65e9CrzW,0,,,No,No,Yes,Yes,I refuse with my phone after deposit,Yes,"Yes, but I am not satisfied with the MoApp",Reach Out via a Sales Agent,Yes,You are not good company
Me8N9Ek,a8bMP9,8/28/2025 15:51,reciEcC81JDk8laG2,10,,,Yes,Yes,No,No,,,,,,
WOlEvEe,5y6A5d,8/28/2025 15:52,recTTiPUS9PyYGFCT,0,,,No,No,No,Yes,My phone refused my Sim card and I couldn't get help,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,None
VLoQkYJ,plj2YE,8/28/2025 15:53,rec5pxk8WRo8F4EVF,8,,,Yes,Yes,Yes,No,Make simple ways of the mode of payment,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
Pd9JJ0b,zAdkQ8,8/28/2025 15:54,reczn5f5IJZcgbmYn,10,,,Yes,Yes,No,No,I had no issues with your service continue that way thanks,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Nothing at all
vGqeQb4,q2xlxg,8/28/2025 15:54,reclDEbwncI4sxXOb,0,,,No,No,No,Yes,I'm fuckiing tired,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,I'm tired
kdOeDej,OWp20p,8/28/2025 15:55,recNfZQ6UmaSys5Bi,,,,Yes,Yes,,,,,,,,
ZjPE4dV,WvGWpL,8/28/2025 15:56,recBNQkyAlkwiFATZ,9,,,Yes,Yes,,,,,,,,
44PJWNY,WvGWje,8/28/2025 15:56,recmFDJgHJB98SbMo,9,,,,Yes,,,,,,,,
xX9Mkpk,Zp47RA,8/28/2025 15:57,recisz8K9W9PzyBUy,10,,,Yes,Yes,No,No,None,No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,None
QK8ePR7,QPQ0O8,8/28/2025 15:58,recGZITquu3CJw3cU,10,,,Yes,Yes,No,No,Sometimes wen I forgot to pay and my phone got locked you can not access bank account sometime you found your mpesa balance is not enough you need to transfer from bank I was suggesting you to had Temporary Unlock like 5 minutes to access bank,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,I was asking if you can add temporary unlock like 5minutes when the phone is locked
Y5V0EP6,gRylA1,8/28/2025 15:58,recudfgshhztf1NMg,7,,,Yes,Yes,No,No,No problem faced,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
5BEj60v,0p2906,8/28/2025 15:58,recTKtbUTdidWwchf,10,,,Yes,Yes,No,No,NA,,,,,
2EOaq9M,YLE67d,8/28/2025 15:59,recRlmsvJnibHtEMf,10,,,Yes,Yes,Yes,Yes,Yes,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Yeah
9q2ZGZG,E4j2z2,8/28/2025 16:00,recQ1phcMiNo5mwaz,10,,,Yes,Yes,No,No,,,,,,
pb4oxeq,9bbgGG,8/28/2025 16:00,recWzpMBOOHpg4Xsc,10,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,No
zxWypP0,zap9k8,8/28/2025 16:00,recVtWOJHAqYZhrpO,10,,,Yes,Yes,No,No,Not applicable,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,No
yPe4ZN4,VkReRN,8/28/2025 16:01,recxQ9SOlRSWQgx9I,10,,,Yes,Yes,No,No,None,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,None
44P7XNr,kVD2Ee,8/28/2025 16:01,recH5rrKihkfN0QM9,10,,,Yes,Yes,No,No,,,,,,
QK8R28X,VkRK5g,8/28/2025 16:02,recdAFddsnIQ1IftD,6,,,No,,,,,,,,,
GxYpvYL,zapkDR,8/28/2025 16:02,recTKpRCnY5rVQMI2,10,,,Yes,Yes,No,No,,,,,,
vGqDjyd,rxNe5o,8/28/2025 16:02,recJJE3CsTzege8a3,0,,,No,No,No,Yes,contact number unreachable,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,THE PHONE' FINGER PRINT FEATURE DOESN'T WORK.
Ek8lzKX,ed1JdJ,8/28/2025 16:02,recI729h9BuZHRgGR,10,,,Yes,Yes,No,No,Give us covers and protector,No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,Good time
Ek8dj44,11ZejL,8/28/2025 16:03,rec154vNyaCSyaVEH,8,,,No,Yes,No,No,Not yet,No,"No, I have never used it",,,
ZjPO5eo,XKVpGj,8/28/2025 16:03,rec3FiAfKemo21czG,10,,,Yes,Yes,No,No,N/A,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,N/A
jaGoDga,zapkZq,8/28/2025 16:04,recVvBc6MVLeKwcSZ,10,,,Yes,Yes,No,No,Charging cables wasn't working,Yes,"No, I have never used it",Reach Out via a Sales Agent,No,"Sales agents are professional especially khalida,was served good and felt valued"
gDWqjVN,yWKB0p,8/28/2025 16:04,recsW8CWPVPZCcgvj,7,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
Pd89jJd,yWOJa8,8/28/2025 16:05,recaEixc1dCUxL9TR,10,,,Yes,Yes,No,No,I have not faced a challeng so far.. The device is perfec and i was served very well. I appriciate,No,,,,
QK8RKYA,PaM7q5,8/28/2025 16:05,recL2q1d02WGrJZFH,10,,,Yes,Yes,No,,,,,,,
zxWMxN0,ZpKj1y,8/28/2025 16:06,reciTERq5KDNZpFO0,0,,,No,No,Yes,Yes,My account is showing higher balance than the one I’m supposed to pay,No,"Yes, but I am not satisfied with the MoApp",Free SMS – 25044,Yes,Not satisfied
LZ5K1RJ,OWp6Ek,8/28/2025 16:06,recMtDfSiB0oN3R7h,10,,,Yes,Yes,No,No,Your random calls,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Am fine
PddjL1x,xL4Y5v,8/28/2025 16:06,rec7ptkpwrIP7ovV9,8,,,Yes,Yes,No,No,None,No,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,None
KY8xYLk,zapk5R,8/28/2025 16:07,recFRIzZ5uWkzhvHK,10,,,Yes,Yes,Yes,No,No,No,"No, I have never used it",Free SMS – 25044,No,Good
RG8oG69,AVokrN,8/28/2025 16:07,recDOIqUN6QJp3HkE,10,,,Yes,Yes,,,,,,,,
pb4oxNV,JNaQVY,8/28/2025 16:07,recg73oAax8AdirEF,6,,,Yes,Yes,No,No,"You should adjust by providing customers with gifts like full chargers (cable and header), screen protector and covers.",No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,I have only 2 days using the phone so I may not give appropriate feedback
q4jDx69,OWLQop,8/28/2025 16:08,recftYbu1hdx8QYoS,8,,,Yes,Yes,Yes,Yes,"The phone went off but I had paid,so next time try not to switch off when someone has paid",No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,I don't have any other problem
ZjPO9QA,a8bWoW,8/28/2025 16:13,recbb9TkU7QK6A0Tx,9,,,Yes,Yes,No,No,Up to now I have no issues concerning ...but maybe some few delay after unlocking the phone,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,Nope
VLoPp2v,PaMooe,8/28/2025 16:14,recOXinkkzSmVDECS,2,,,No,No,No,"No, I have never looked for customer care",Your gadgets is not friendly for use,Yes,"No, I have never used it",Reach Out via a Sales Agent,No,No
b5NeqKg,vQ7kNX,8/28/2025 16:16,recotkxBUM2XiOXmv,9,,,Yes,Yes,No,"No, I have never looked for customer care",,,,,,
5BE9Xyd,ed1b4e,8/28/2025 16:16,recGdVIAmsfdax5Ud,10,,,Yes,Yes,No,No,No,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
2EOAX1L,ed146J,8/28/2025 16:17,recWARqS36Jy6a970,2,,,No,No,No,Yes,My problem not able to be resolved,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,My phone always going off
KY8xeaV,78BG80,8/28/2025 16:22,rec3tjaCUUXFtpFOx,4,,,No,No,No,Yes,My phone ain't 100% functioning,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Need my phone battery and mouth piece checked asup
lbVOepp,Zp4qqA,8/28/2025 16:28,recYwDkFpPf5BLUa2,,,,Yes,Yes,,,,,,,,
Np8XlNQ,0p2N90,8/28/2025 16:28,recoU1M0JWdYSiK9t,10,,,Yes,Yes,No,No,No challenge,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
b5Neez0,b0B042,8/28/2025 16:33,recS5lYaOyvYssBA0,8,,,Yes,Yes,No,No,"Maybe lower the penalty rates,but so far so good plus the grace period is incredibly awesome",No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,I just love this phone its amazing when not locked
2EOAAOA,2MqMrV,8/28/2025 16:35,recBndNMaLhKM9Bt4,7,,,Yes,Yes,No,No,Not yet,Yes,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,Maybe later
Pd89zYV,b0B0be,8/28/2025 16:36,rec9vf9eg9HaABaUv,10,,,Yes,Yes,No,No,No challenge,No,"Yes, and I am satisfied with the MoApp",Self-Service USSD – *789*25044#,No,No thanks
gDNLELN,j1667x,8/28/2025 16:37,recLXWMxG2nbtOq01,10,,,Yes,Yes,No,No,None,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,None
A7WpBle,DGgPqN,8/28/2025 16:38,recl5xPCPG53AokSz,9,,,No,Yes,No,No,No,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Kindly improve battery capacity of Samsung note 20 ultra ??
b5Nejeg,XKVZRz,8/28/2025 16:38,recoopuT2rGUqJUQA,8,,,Yes,No,No,Yes,I wanted to be assisted on how I can install apps which are important for me from outside playstore. Am not happy with that restriction. Why can't you be just like Mkopa?,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Please work on not restricting app installations
rj0BXzl,gRLMB1,8/28/2025 16:41,rec7jPrW71UKfT42P,0,,,No,No,Yes,Yes,The phone was not active in some areas,Yes,"No, I have never used it",Reach Out via a Sales Agent,Yes,No
J98lzxJ,q2xxl9,8/28/2025 16:43,reck3LkDMSHtgvsCA,7,,,Yes,Yes,No,No,No,Yes,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,No
oblRGJN,WvGGGa,8/28/2025 16:43,recaQ2V203stWmqKm,8,,,Yes,Yes,No,No,,,,,,
rj2O612,VRELzv,8/28/2025 16:53,recaERznBpjBfaOVA,9,,,Yes,Yes,No,No,No,,,,,
44P78yr,YED54d,8/28/2025 16:53,recAA781QW7bMZrhG,10,,,Yes,Yes,No,No,None,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,None
dWQ06Oq,ZxAL55,8/28/2025 16:53,recY6IUAb065QjHxV,,,,Yes,,,,,,,,,
zxWMqGE,GNvxxZ,8/28/2025 16:54,recCwq3qU5DiZsXDY,1,,,No,No,No,No,Nil,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,When the phone is locked some apps should be operating normally
aQZ4B22,WG9OKk,8/28/2025 16:56,recEZio5EEqv0U510,7,,,Yes,Yes,No,No,No complain,,,,,
aQZ46Mv,0NoGJ6,8/28/2025 16:56,recObMVtL2N13CosM,9,,,Yes,Yes,No,"No, I have never looked for customer care",.,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,.
81jLdzk,02rQo9,8/28/2025 16:57,recEFwcFTAIhu07w1,6,,,Yes,Yes,No,Yes,"Its about my mpesa app, i have been trying to log in.my mpesa and keeps on ??????????????????",Yes,"No, I have never used it",MoPhones App,No,?????????????? ???????????????? ???? ?????? ????????
1AG4rYb,bBV5oE,8/28/2025 17:00,recnb0Q2A9Khod9M8,8,,,Yes,Yes,No,"No, I have never looked for customer care",No,No,"No, I have never used it",Reach Out via a Sales Agent,No,No
eq9rBJk,JaK9NX,8/28/2025 17:00,recweCJlZHY2s1UeT,8,,,Yes,Yes,No,No,I found that thre is some apps you can't access in the phone,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,Am happy
pb4oLaJ,yBGNVx,8/28/2025 17:02,recP9ZxLehToxJZkO,0,,,No,No,Yes,Yes,"You guys conned me 
 Your phones are very fake,intact I'll take this matter to vourt",Yes,"Yes, but I am not satisfied with the MoApp",,Yes,
pb4oVLZ,pqBROq,8/28/2025 17:07,rectg8lcxDP1tACwL,10,,,Yes,Yes,No,No,N/A,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
1AG4Exp,JaKqAK,8/28/2025 17:09,rec5xsG6Wt1JSptS2,8,,,Yes,Yes,Yes,No,No,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
Bz8p1W4,GNvege,8/28/2025 17:10,rec7CFQLCsR52eQAs,8,,,No,Yes,No,No,The phone doesn't keep charge,Yes,"Yes, and I am satisfied with the MoApp",Reach Out via a Sales Agent,No,Just save the battery or let me know what to do with it.. I'm tired of charging it now and then yet it's only 14 days old in my hands
rj2OKQ5,jdDez1,8/28/2025 17:10,recpSgLxWQIXC6qfw,6,,,Yes,Yes,No,No,N/a,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Try to work on replacement after a client losses his device even if it will be at his/her cost
kdOG5Oj,1ZPXQ1,8/28/2025 17:18,recV5Hcf8X28o8T29,4,,,Yes,Yes,No,Yes,"The phone was repeatedly blocked after final payments had been finalized , removing mophone app on the phone damaged it. It no longer connects to wifi anymore . This happened immediately the app was removed remotely.. repeated calls have yielded no result .",No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Comment given in previous questions
VLoPYaj,9LGXP4,8/28/2025 17:21,recD6rr2M0GsBr83G,1,,,No,No,No,Yes,"Ur phone one cannot send apps from my previous phone due to this nuovo app
 I tried seeking for assistance in ur organization I didn't get any feedback how it can be corrected ,till date",Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,None
5BE9qxM,8voaYA,8/28/2025 17:24,recRrM5eND9e28lpK,10,,,,,,,,,,,,
Ek8lbrX,4WX7QA,8/28/2025 17:27,recfMdVTv8CxmAkDg,10,,,Yes,No,,,,,,,,
zxWMr8Z,GNv9Xe,8/28/2025 17:28,recyMKalUccoNOjX5,10,,,Yes,Yes,No,No,My phone is hanging and heating,Yes,"No, I have never used it",Self-Service USSD – *789*25044#,No,Not bad
44P71Xr,jdDoMR,8/28/2025 17:29,recIy6zLNTkyCY9Op,7,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",Self-Service USSD – *789*25044#,No,No
jaPkBGE,RygXJP,8/28/2025 17:32,recKviQcrl4gJQWWh,10,,,Yes,Yes,No,No,I have no difficulty,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,So good feedback
rj2O0vX,or6RQx,8/28/2025 17:34,recxui796c1BLsCGg,5,,,No,No,Yes,Yes,Already payment done bt delay for the activation na customer care wasn't available,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Try to rectify izo small mistakes b4 they grow up
GxYpYkz,edORGx,8/28/2025 17:37,recDXyh4tc9xU6TQg,,,,No,No,,,,,,,,
LZ5KEjv,e1Zrg0,8/28/2025 17:38,recvotrPln84xdSJ5,10,,,No,No,Yes,Yes,I paid n it took 24hrs to be on I was off,No,"Yes, but I am not satisfied with the MoApp",Free SMS – 25044,Yes,Some apps not functioning
vGqDEyX,Z452bB,8/28/2025 17:42,recOhOhvyseElCN7W,9,,,Yes,Yes,Yes,No,"No challenge so far,",No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,Thankyou for the good work
Pd89bD5,gyjGQO,8/28/2025 17:46,recHjtfUt7Ca9XXCK,2,,,No,No,No,No,My phone has just cracked. It has not fallen down,,,,,
A7Wp4YB,YEDa6N,8/28/2025 17:50,recQOgP26osTnxLlB,6,,,Yes,Yes,No,"No, I have never looked for customer care",None,Yes,"No, I have never used it",Self-Service USSD – *789*25044#,No,None
OD8Xo8A,qxZAW5,8/28/2025 17:52,recct0lTJX8BDE9G6,,,,Yes,Yes,,,,,,,,
Np8XbK0,vo99lQ,8/28/2025 17:53,rec5w2DeHGLakPlAz,10,,,Yes,Yes,Yes,No,Iam not able to log in to the mo phone app,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,I need assistance on how to log in to the mo phone account
44P7pEr,AoPLWe,8/28/2025 17:54,recVOBeN6lIWBUFGK,9,,,Yes,Yes,No,"No, I have never looked for customer care",No,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Add discounts to clients who pay ontime without fail
dWQ0k9o,e1Zeaq,8/28/2025 17:54,rec8QyhuSe6u1wFHH,10,,,Yes,Yes,Yes,Yes,I made several calls till when I got assistance,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,None
lbVOzpN,JaK21X,8/28/2025 18:07,reciMJHEFw4JDkt6T,9,,,Yes,Yes,No,No,Good ?? customer care,No,"No, I have never used it",Free SMS – 25044,No,Bought cash
OD8XVXK,JaK26R,8/28/2025 18:08,recdCIRsrgcb3MvfN,10,,,Yes,Yes,No,No,Everything good ??,No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,Everything good so far
eq9rPOQ,oxXxB1,8/28/2025 18:28,rec8SMVyrkSFVAWc0,10,,,Yes,Yes,No,No,Nice phone and best experience,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Better
rj2O1ro,RO589Q,8/28/2025 18:32,reciow5rNqKGjZMep,8,,,Yes,No,Yes,Yes,There's no sense of urgency at times when in need,Yes,"Yes, but I am not satisfied with the MoApp",Free SMS – 25044,Yes,NA
D40pPzj,dByPay,8/28/2025 18:34,reczmdCEsi8fe1xHf,5,,,Yes,Yes,No,No,If someone has paid pls pls let it reflect automatic,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Pls try if someone has paid let it reflect automatic
kdOGQJZ,VREVOv,8/28/2025 18:36,rec2Hsac1yPCpFFeG,2,,,,,,,,,,,,
VLoPB0a,RXKRl9,8/28/2025 18:36,reczr3gVFRt1ArErq,10,,,Yes,Yes,No,No,.,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,.
Pd89Lo5,56Kv0E,8/28/2025 18:46,recvc8PqnrWKHEQgX,8,,,Yes,Yes,No,No,"To me, I haven't had is problem yet",No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,So far so good
D40popX,Z45Y0y,8/28/2025 18:47,recqJJOgG9eFYkD3R,6,,,Yes,Yes,No,No,No challenge yet,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,how can you deal with the battery issue
Me8aZJl,e1Z7OQ,8/28/2025 18:52,recNm7jrvCTr8r0EG,,,,Yes,Yes,,,,,,,,
Y5VG7Ez,7Bl97z,8/28/2025 19:05,recatC5W4XM1eMHf7,5,,,No,No,No,Yes,It's loosing it's network (sim card). Oftenly.,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,No
yPe4aqB,XVlRvj,8/28/2025 19:10,rec646tdVGkn68L5A,10,,,Yes,Yes,No,No,,,,,,
xX9DGVd,yWqD66,8/28/2025 19:27,recp6gVUtNTOllPck,10,,,Yes,Yes,No,"No, I have never looked for customer care",None,No,"Yes, and I am satisfied with the MoApp",MoPhones App,No,Why am i restricted from using some apps
pb4olrq,or6kvO,8/28/2025 19:52,recjt7aWfDWiF9Iru,3,,,Yes,No,Yes,Yes,"Overcontrol the device to a point of denying me liberty to install apps that are my livelihood. Denying me a chance to pay according to my capabilities as long as the loan terms and duration are not interfered with. You guys look only on yourself but not the customers. The fact that you help get phones without paying full amount, should not make you to be too mean. Remember and the end of the day you need the customers to run",Yes,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Don't be too mean. Consider your customers as much as you consider your company
Pd8zdjb,yKZ1j4,8/28/2025 20:01,recYvVwExp5uhaNVp,10,,,Yes,Yes,,,,,,,,
81jZ1Zo,7BlEE9,8/28/2025 20:03,recHSDbtWgt7VKWqM,6,,,Yes,Yes,Yes,No,Nothing,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,After making the phone will still ask u to pay
5BEZXKo,AoPQ2W,8/28/2025 20:09,rec50k9hdNh9JcdUD,10,,,Yes,Yes,No,No,I didn't as long as you pay on time you are good with the service,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
9q27Qp1,4WXyLr,8/28/2025 20:48,recYG31YRxJ9US0oL,1,,,,,,,,,,,,
RG8DPOd,bBVyDe,8/28/2025 20:56,recJiBVHVXB1zLgjg,10,,,Yes,Yes,No,"No, I have never looked for customer care",Currently I've not experienced any challenge,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,I would like to be informed about my loan payment plan and offers
obl2OZN,yKZbQg,8/28/2025 21:29,recGZrr3dUanVMSTq,10,,,Yes,Yes,No,No,"Everything is okay so far,just got a phone a day ago.It had small issue but they replaced immediately...so all is good.Thank you.",No,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,No,"Let us use the phone first then will give a definite answer, it was only yesterday we got the phone."
rj2o0Dv,e1ZWYQ,8/28/2025 21:55,recgNyhx3pOiYRrxD,10,,,Yes,Yes,No,No,N/A,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Thank you
GxYRq1k,xBo225,8/28/2025 22:24,recCZSZrOlKG1Nsgc,2,,,No,No,Yes,Yes,Updating other apps not found in the playstore,No,"Yes, but I am not satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,How can ÿou change??
A7WvPLB,DLjrLl,8/29/2025 1:16,rec52Ba19b3mcGPTr,10,,,Yes,Yes,No,No,Experience is in place,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Satisfactory experienced
Pd8OOvB,8v1eAA,8/29/2025 2:21,recikTcU7S22c9yuQ,7,,,Yes,Yes,Yes,No,Your phone is good,Yes,"No, I have never used it",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,I like the way do
1AGVJ6p,NKp4Yj,8/29/2025 3:35,recSdxnpiS6Tbjdvc,1,,,No,No,No,Yes,"I travelled out of the country for studies. I needed a software downloaded in my phone for studying purposes, tried to get assistance downloading. To date i am unable to get the assistance. I had to look for an alternative phone to use",Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,"Check on response time to issues. Automated response sometimes are of zero help. 
 My phones speakers' volume reduced,
 My phone is not charging well, and the more i use the phone the more its gets slow."
0Qb7MNP,Pa0q5Q,8/29/2025 3:40,reccM6dF8KBAbpK0h,1,,,Yes,Yes,No,No,No,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
1AGVDe4,orbKXM,8/29/2025 4:15,recAuyQxcG5uOpsbb,10,,,Yes,Yes,No,No,"Have not faced any challenges whatsoever 
 And I appreciate how you respond so fast to your clients.",No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,None
b5NdY00,QgKzWY,8/29/2025 4:23,recj7CI64h33uICSb,7,,,Yes,Yes,,,,,,,,
aQZdabE,YvMXAd,8/29/2025 4:35,recTQ5bvmJj2HEbgf,5,,,No,Yes,Yes,Yes,You don't receive calls,Yes,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,No
1AGVyeL,jKeg1a,8/29/2025 5:42,rec4ZZqW5XwWNPKs9,6,,,No,Yes,No,"No, I have never looked for customer care",No,No,"No, I have never used it",Reach Out via a Sales Agent,No,I suggest for daily payments
jaGPYvJ,W45Q6e,8/29/2025 5:43,recdkTU6qHWMluzKz,10,,,Yes,Yes,Yes,Yes,When wanted to communicate using the airtel number.. you only pick calls on safaricom only and it finds difficult for me,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,"Sometimes I don't have credit on safaricom, please can you be found in chatting?"
WOlzkOe,DgGJ1Z,8/29/2025 5:46,recoTEhguiGXaU0o4,4,,,No,Yes,No,No,Network connection,Yes,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Issues with cellular network
xX9YLzk,VRLd5l,8/29/2025 5:48,recH8Lvfc0sYFqvbC,0,,,No,No,,,,,,,,
Bz87JKK,2qEylg,8/29/2025 6:21,recivxrLUOhpt2W6n,8,,,Yes,Yes,No,No,0,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Nice gadget
1AGVjJW,OpDZvk,8/29/2025 7:08,recBCABHIoxpfL9ED,10,,,Yes,Yes,Yes,No,Am supposed to pay 950 weekly Sometimes I have like 500 on my phone if I pay that 500 it will remain locked till I call the customer care I wish you can help with that,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,No
q4jA4Vk,QPQG8Y,8/29/2025 7:41,recxV2TqNDnnqsqKB,10,,,Yes,Yes,No,No,No challenges for now,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,Non
Ek0y6qA,EpXxjN,8/29/2025 8:08,recBwRtxjQTklBqzm,10,,,No,No,No,Yes,The phone you gave had a crack and it Riley hanging and it's screen has cracked can I return the phone ed give me some cash,,,,,
